Vendor/supplying plant,City,Country
01 COMPUTER SYSTEM PTE LTD,SINGAPORE,Singapore
ABB PTE LTD,SINGAPORE,Singapore
ABLE HYDRAULIC & INDUSTRIAL SUPPLY,SINGAPORE,Singapore
ACE COMP. SERVICES & TRADING,SINGAPORE,Singapore
ACP METAL FINISHING PTE LTD,SINGAPORE,Singapore
ADEMCO (FAR EAST) PTE LTD,SINGAPORE,Singapore
ADLER OFFICE MACHINES PTE LTD,SINGAPORE,Singapore
ADMECH ENGINEERING SERVICES,SINGAPORE,Singapore
AFI SANIFIX,SINGAPORE,Singapore
AIK MOH PAINTS & CHEMICALS PTE LTD,SINGAPORE,Singapore
ALCARE PHARMACEUTICALS PTE LTD,SINGAPORE,Singapore
ALERT ENGINEERING SERVICES,SINGAPORE,Singapore
ALSON ENGINEERING (S) PTE LTD,SINGAPORE,Singapore
APCO TOOL & GAUGE PTE LTD,SINGAPORE,Singapore
BOK SENG LOGISTICS PTE LTD,SINGAPORE,Singapore
APPLIED DIGITAL SYSTEM (PTE) LTD,SINGAPORE,Singapore
ACTUANT ASIA PTE LTD,SINGAPORE,Singapore
APPROVED CHEMICALS (S.E.A) PTE LTD,SINGAPORE,Singapore
ARMSTRONG INDUSTRIAL CORPORATION LIMITED,SINGAPORE,Singapore
ATLAS COPCO (SOUTH EAST ASIA) PTE LTD,SINGAPORE,Singapore
B & LEE ELECTRONICS ENGINEERING PTE LTD,SINGAPORE,Singapore
BAUMANN SPRING CO (S) PTE LTD,SINGAPORE,Singapore
BERVIC DYNAMIC PTE LTD,SINGAPORE,Singapore
BOLE FURNACE (S) PTE LTD,SINGAPORE,Singapore
BORNEO GREENLAND ENTERPRISES,SINGAPORE,Singapore
BP SINGAPORE PTE LTD,SINGAPORE,Singapore
BUILDING METAL WORK PTE LTD,SINGAPORE,Singapore
BUSINESS MACHINES SYSTEMS (S) PTE LTD,SINGAPORE,Singapore
C.O.S. PRINTERS PTE LTD,SINGAPORE,Singapore
CANON SINGAPORE PTE LTD,SINGAPORE,Singapore
MINISTRY OF DEFENCE,SINGAPORE,Singapore
ST ELECTRONICS (INFO-COMM SYSTEMS) PTE LTD,SINGAPORE,Singapore
CHAMPION PRECISION ENGINEERING PTE LTD,SINGAPORE,Singapore
AGIE CHARMILLES (SOUTH EAST ASIA) PTE LTD,SINGAPORE,Singapore
ADVANCED PYROTECHNIC MATERIALS PTE LTD,SINGAPORE,Singapore
CHEM-SOLV TECHNOLOGIES PTE LTD,SINGAPORE,Singapore
CHEMETALL ASIA PTE LTD,SINGAPORE,Singapore
CHEMICRETE ENTERPRISES PTE LTD,SINGAPORE,Singapore
CHEN WEE PRECISION ENGINEERING PTE LTD,SINGAPORE,Singapore
CHIA CHOON YANG,SINGAPORE,Singapore
CHIN HUAT HARDWARE & ENGINEERING (PTE) LTD,SINGAPORE,Singapore
CHONG SENG WOODEN CASE FACTORY PTE LTD,SINGAPORE,Singapore
CK VEHICLE RENTAL PTE LTD,SINGAPORE,Singapore
CKE MANUFACTURING PTE LTD,SINGAPORE,Singapore
COMBI-TOOLS (SINGAPORE) PTE LTD,SINGAPORE,Singapore
TOPPAN FORMS (S) PTE LTD,SINGAPORE,Singapore
CONTROL TECHNIQUES SINGAPORE PTE LTD,SINGAPORE,Singapore
COOLMAR-TA COATINGS & SYSTEMS PTE LTD,SINGAPORE,Singapore
CROWN EQUIPMENT (SINGAPORE) PTE LTD,SINGAPORE,Singapore
CSA AUTOMATED PTE LTD,SINGAPORE,Singapore
DANGEROUS GOODS MANAGEMENT (SINGAPORE) PTE LTD,SINGAPORE,Singapore
DENSBE ELECTRICAL SINGAPORE PTE LTD,SINGAPORE,Singapore
DNV GL SINGAPORE PTE LTD,SINGAPORE,Singapore
DHL EXPRESS (SINGAPORE) PTE LTD,SINGAPORE,Singapore
DITTON ENGINEERING PTE LTD,SINGAPORE,Singapore
DMG MORI SINGAPORE PTE LTD,SINGAPORE,Singapore
EFFECTIVE ENGINEERING PTE LTD,SINGAPORE,Singapore
ENTHONE CHEMISTRY,SINGAPORE,Singapore
ERIKS PTE LTD,SINGAPORE,Singapore
EVA'S KITCHEN,SINGAPORE,Singapore
EVER WIN ENTERPRISES PTE LTD,SINGAPORE,Singapore
EXIM & MFR ENTERPRISE,SINGAPORE,Singapore
EXPLOMO TECHNICAL SERVICES PTE LTD,SINGAPORE,Singapore
